t,cmd_left,cmd_right,Tu,Tr,u,v,r
287.76666666666665,0.7,0.1,46.623973020707595,-11.860046223950441,0.9878395016522674,0.8355316815396328,-1.7108231791312951
287.8,0.7,0.1,46.623973020707595,-11.860046223950441,0.9803139365593431,0.8355014699547845,-1.708050417649952
287.8333333333333,0.7,0.1,46.623973020707595,-11.860046223950441,0.9733421047552493,0.8347459445064899,-1.7050088770507859
287.8666666666667,0.7,0.1,46.623973020707595,-11.860046223950441,0.9669189305038155,0.8333724289803308,-1.7017740689659477
287.9,0.7,0.1,46.623973020707595,-11.860046223950441,0.9610343072229081,0.8314803321938289,-1.6984120223101267
287.93333333333334,0.7,0.1,46.623973020707595,-11.860046223950441,0.9556739044105897,0.8291610197237824,-1.6949799097159342
287.96666666666664,0.7,0.1,46.623973020707595,-11.860046223950441,0.9508199159258143,0.8264978262678824,-1.6915267227112738
288.0,0.7,0.1,46.623973020707595,-11.860046223950441,0.9464517456168197,0.823566185423087,-1.6880939694281478
288.0333333333333,0.6667,0.1333,43.97964606914165,-10.648413038970565,0.9425466285963765,0.820433854961634,-1.6847163737401207
288.06666666666666,0.6333,0.1667,41.5160191425547,-9.399056098310568,0.9355693957930398,0.8161638700439562,-1.647450491032419
288.1,0.6,0.2,39.288003112390996,-8.121984309686718,0.9265711362291845,0.8094893906742874,-1.5888621100790463
288.1333333333333,0.5667,0.2333,37.32638210209518,-6.8165641127440555,0.9164501090766694,0.7998010985352821,-1.515897726945662
288.1666666666667,0.5333,0.2667,35.66217886167396,-5.48237882178764,0.9059867234132557,0.7868666851580576,-1.4321706849474596
288.2,0.5,0.3,34.33668095595582,-4.131581031890573,0.8958857769787453,0.770663276020257,-1.3395012424446566
288.23333333333335,0.4667,0.3333,33.37017879472675,-2.7648583585967375,0.8868112639173565,0.7512880400483183,-1.239082129095261
288.26666666666665,0.4333,0.3667,32.78069466642583,-1.3831190182842192,0.8793667308677529,0.7288997074665753,-1.131430896813922
288.3,0.4,0.4,32.583645022070634,-0.0,0.8741039750654261,0.7036711013377269,-1.0166436655501039
