t,cmd_left,cmd_right
13.6000,0.7300,0.7300
13.6333,0.7650,0.7650
13.6667,0.8000,0.8000
13.7000,0.8000,0.8000
13.7333,0.8000,0.8000
13.7667,0.8000,0.8000
13.8000,0.8000,0.8000
13.8333,0.8000,0.8000
13.8667,0.8000,0.8000
13.9000,0.8000,0.8000
13.9333,0.8000,0.8000
13.9667,0.8000,0.8000
14.0000,0.8000,0.8000
14.0333,0.8000,0.8000
14.0667,0.8000,0.8000
14.1000,0.8000,0.8000
14.1333,0.8000,0.8000
14.1667,0.8000,0.8000
14.2000,0.8000,0.8000
14.2333,0.8000,0.8000
14.2667,0.8000,0.8000
14.3000,0.8000,0.8000
14.3333,0.8000,0.8000
14.3667,0.8000,0.8000
14.4000,0.8000,0.8000
14.4333,0.8000,0.8000
14.4667,0.8000,0.8000
14.5000,0.8000,0.8000
14.5333,0.8000,0.8000
14.5667,0.8000,0.8000
14.6000,0.8000,0.8000
14.6333,0.8000,0.8000
14.6667,0.8000,0.8000
14.7000,0.8000,0.8000
14.7333,0.8000,0.8000
14.7667,0.8000,0.8000
14.8000,0.8000,0.8000
14.8333,0.8000,0.8000
14.8667,0.8000,0.8000
14.9000,0.8000,0.8000
14.9333,0.8000,0.8000
14.9667,0.8000,0.8000
15.0000,0.8000,0.8000
15.0333,0.8000,0.8000
15.0667,0.8000,0.8000
15.1000,0.8000,0.8000
15.1333,0.8000,0.8000
15.1667,0.8000,0.8000
15.2000,0.8000,0.8000
15.2333,0.8000,0.8000
15.2667,0.8000,0.8000
15.3000,0.8000,0.8000
15.3333,0.8000,0.8000
15.3667,0.8000,0.8000
15.4000,0.8000,0.8000
15.4333,0.8000,0.8000
15.4667,0.8000,0.8000
15.5000,0.8000,0.8000
15.5333,0.8000,0.8000
15.5667,0.8000,0.8000
15.6000,0.8000,0.8000
15.6333,0.8000,0.8000
15.6667,0.8000,0.8000
15.7000,0.8000,0.8000
15.7333,0.8000,0.8000
15.7667,0.8000,0.8000
15.8000,0.8000,0.8000
15.8333,0.8000,0.8000
15.8667,0.8000,0.8000
15.9000,0.8000,0.8000
15.9333,0.8000,0.8000
15.9667,0.8000,0.8000
16.0000,0.8000,0.8000
16.0333,0.8000,0.8000
16.0667,0.8000,0.8000
16.1000,0.8000,0.8000
16.1333,0.8000,0.8000
16.1667,0.8000,0.8000
16.2000,0.8000,0.8000
16.2333,0.8000,0.8000
16.2667,0.8000,0.8000
16.3000,0.8000,0.8000
16.3333,0.8000,0.8000
16.3667,0.8000,0.8000
16.4000,0.8000,0.8000
16.4333,0.8000,0.8000
16.4667,0.8000,0.8000
16.5000,0.8000,0.8000
16.5333,0.8000,0.8000
16.5667,0.8000,0.8000
16.6000,0.8000,0.8000
16.6333,0.8000,0.8000
16.6667,0.8000,0.8000
16.7000,0.8000,0.8000
16.7333,0.8000,0.8000
16.7667,0.8000,0.8000
16.8000,0.8000,0.8000
16.8333,0.8000,0.8000
16.8667,0.8000,0.8000
16.9000,0.8000,0.8000
16.9333,0.8000,0.8000
16.9667,0.8000,0.8000
